@@,name,party,constituency
->,Yves-François Blanchet,Bloc Québécois,Belœil—Chambly->Beloeil—Chambly
->,Yasir Naqvi->Catherine McKenna,Liberal,Ottawa Centre
->,Wilson Miao->Alice Wong,Liberal->Conservative,Richmond Centre
->,Viviane Lapointe->Paul Lefebvre,Liberal,Sudbury
->,Valerie Bradford->Marwan Tabbara,Liberal->Independent,Kitchener South—Hespeler
->,Taleeb Noormohamed->Jody Wilson-Raybould,Liberal->Independent,Vancouver Granville
->,Tako van Popta->Tako Van Popta,Conservative,Langley—Aldergrove
->,Steve MacKinnon->Steven MacKinnon,Liberal,Gatineau
->,Stephen Ellis->Lenore Zann,Conservative->Liberal,Cumberland—Colchester
->,Sophie Chatel->William Amos,Liberal,Pontiac
->,Shelby Kramp-Neuman->Derek Sloan,Conservative->Independent,Hastings—Lennox and Addington
->,Shafqat Ali->Ramesh Sangha,Liberal->Independent,Brampton Centre
->,Ryan Williams->Neil Ellis,Conservative->Liberal,Bay of Quinte
->,Rob Oliphant->Robert Oliphant,Liberal,Don Valley West
->,Rick Perkins->Bernadette Jordan,Conservative->Liberal,South Shore—St. Margarets
->,René Villemure->Louise Charbonneau,Bloc Québécois,Trois-Rivières
->,Rechie Valdez->Gagan Sikand,Liberal,Mississauga—Streetsville
->,Randy Boissonnault->James Cumming,Liberal->Conservative,Edmonton Centre
->,Paul Chiang->Bob Saroya,Liberal->Conservative,Markham—Unionville
->,Pascale St-Onge->Lyne Bessette,Liberal,Brome—Missisquoi
->,Parm Bains->Kenny Chiu,Liberal->Conservative,Steveston—Richmond East
->,Pablo Rodríguez->Pablo Rodriguez,Liberal,Honoré-Mercier
->,Nathalie Sinclair Desgagné->Michel Boudrias,Bloc Québécois,Terrebonne
->,Mike Morrice->Raj Saini,Green Party->Liberal,Kitchener Centre
->,Michelle Ferreri->Maryam Monsef,Conservative->Liberal,Peterborough—Kawartha
->,Michael Coteau->Yasmin Ratansi,Liberal->Independent,Don Valley East
->,Melissa Lantsman->Peter Kent,Conservative,Thornhill
->,Lori Idlout->Mumilaaq Qaqqaq,NDP,Nunavut
->,Lisa Marie Barron->Paul Manly,NDP->Green Party,Nanaimo—Ladysmith
->,Lisa Hepfner->Scott Duvall,Liberal->NDP,Hamilton Mountain
->,Leslyn Lewis->Diane Finley,Conservative,Haldimand—Norfolk
->,Lena Diab->Geoff Regan,Liberal,Halifax West
->,Leah Taylor Roy->Leona Alleslev,Liberal->Conservative,Aurora—Oak Ridges—Richmond Hill
->,Larry Brock->Phil McColeman,Conservative,Brantford—Brant
->,Laila Goodridge->David Yurdiga,Conservative,Fort McMurray—Cold Lake
->,Kevin Vuong->Adam Vaughan,Independent->Liberal,Spadina—Fort York
->,Judy Sgro->Judy A. Sgro,Liberal,Humber River—Black Creek
->,John Aldag->Tamara Jansen,Liberal->Conservative,Cloverdale—Langley City
->,Joanne Thompson->Jack Harris,Liberal->NDP,St. John's East
->,Jenna Sudds->Karen McCrimmon,Liberal,Kanata—Carleton
->,Jean-Denis Garon->Simon Marcil,Bloc Québécois,Mirabel
->,Jasraj Hallan->Jasraj Singh Hallan,Conservative,Calgary Forest Lawn
->,Jake Stewart->Pat Finnigan,Conservative->Liberal,Miramichi—Grand Lake
->,Iqwinder Gaheer->Navdeep Bains,Liberal,Mississauga—Malton
->,Heath MacDonald->Wayne Easter,Liberal,Malpeque
->,Harjit Sajjan->Harjit S. Sajjan,Liberal,Vancouver South
->,George Chahal->Jag Sahota,Liberal->Conservative,Calgary Skyview
->,Fraser Tolmie->Tom Lukiwski,Conservative,Moose Jaw—Lake Centre—Lanigan
->,Frank Caputo->Cathy McLeod,Conservative,Kamloops—Thompson—Cariboo
->,Dominique Vien->Steven Blaney,Conservative,Bellechasse—Les Etchemins—Lévis
->,Dan Muys->David Sweet,Conservative,Flamborough—Glanbrook
->,Clifford Small->Scott Simms,Conservative->Liberal,Coast of Bays—Central—Notre Dame
->,Chad Collins->Bob Bratina,Liberal,Hamilton East—Stoney Creek
->,Brendan Hanley->Larry Bagnell,Liberal,Yukon
->,Bonita Zarrillo->Nelly Shin,NDP->Conservative,Port Moody—Coquitlam
->,Bobby Morrissey->Robert Morrissey,Liberal,Egmont
->,Blake Desjarlais->Kerry Diotte,NDP->Conservative,Edmonton Griesbach
->,Arielle Kayabaga->Kate Young,Liberal,London West
->,Anna Roberts->Deb Schulte,Conservative->Liberal,King—Vaughan
->,Adam Chambers->Bruce Stanton,Conservative,Simcoe North
+++,Michael Levitt,Liberal,York Centre
+++,Bill Morneau,Liberal,Toronto Centre
