item,name,group,party,district,constituency,gender,dob,dobPrecision,psid
Q100937829,Ya'ara Saks,Q138345,Liberal Party of Canada,Q3572587,York Centre,female,1973-01-01T00:00:00Z,9,Q100937829-692b22fe-4d0f-da70-0723-71c0b68d2204
Q16211070,Ahmed Hussen,Q138345,Liberal Party of Canada,Q3572599,York South—Weston,male,1976-01-01T00:00:00Z,9,Q16211070-a60083ca-4a9f-1c98-952e-df81628bee32
Q21335996,Catherine McKenna,Q138345,Liberal Party of Canada,Q3357743,Ottawa Centre,female,1971-08-05T00:00:00Z,11,Q21335996-05CFEB18-0648-46C3-9A0F-45836D52AA43
Q21336208,Marco Mendicino,Q138345,Liberal Party of Canada,Q3049206,Eglinton—Lawrence,male,1973-07-28T00:00:00Z,11,Q21336208-86bbd002-4f57-9735-21f4-fb5a0c09b49d
Q21471154,Marwan Tabbara,Q327591,independent politician,Q16979185,Kitchener South—Hespeler,male,1984-08-23T00:00:00Z,11,Q21471154-DADE2364-1ECF-4D6D-8642-059F98C570DA
Q21714336,Ginette Petitpas Taylor,Q138345,Liberal Party of Canada,Q3320478,Moncton—Riverview—Dieppe,female,1965-01-01T00:00:00Z,8,Q21714336-c23956e4-47d0-d632-88d4-ee28d356f2d1
Q22005483,Gudie Hutchings,Q138345,Liberal Party of Canada,Q16990299,Long Range Mountains,female,1959-09-01T00:00:00Z,11,Q22005483-15CFF83A-0E00-4D71-BD3D-98201B445833
Q22006190,Patricia Lattanzio,Q138345,Liberal Party of Canada,Q3462835,Saint-Léonard—Saint-Michel,female,,,Q22006190-c1d3298e-4b14-2dd6-7bd2-6d67df1d2a77
Q22280290,Ramesh Sangha,Q327591,independent politician,Q2923648,Brampton Centre,male,1945-06-06T00:00:00Z,11,Q22280290-8A0430BE-176E-40C7-B9DD-8D8AC44CCA14
Q2830317,Alain Therrien,Q735105,Bloc Québécois,Q3217787,La Prairie,male,1966-07-06T00:00:00Z,11,Q2830317-e37774d7-4c04-8d25-c069-82bb37d914c0
Q2852943,Anthony Rota,Q138345,Liberal Party of Canada,Q3342105,Nipissing—Timiskaming,male,1961-05-15T00:00:00Z,11,Q2852943-eb6086c6-4504-9c0d-e46d-ddadc8ead873
Q3022947,Denis Trudel,Q735105,Bloc Québécois,Q21027519,Longueuil—Saint-Hubert,male,1963-07-18T00:00:00Z,11,Q3022947-0637ab25-4f11-b304-b1df-8e6633f04454
Q30302772,Simon-Pierre Savard-Tremblay,Q735105,Bloc Québécois,Q3462434,Saint-Hyacinthe—Bagot,male,1988-05-01T00:00:00Z,10,Q30302772-af82b461-4f91-7634-6825-bdc17ea5375d
Q3263709,Louise Chabot,Q735105,Bloc Québécois,Q16842973,Thérèse-De Blainville,female,1955-01-01T00:00:00Z,9,Q3263709-3b5842fe-4bc9-e6d3-c01b-bb3660c54d20
Q3308109,Michael Chong,Q488523,Conservative Party of Canada,Q3567185,Wellington—Halton Hills,male,1971-11-22T00:00:00Z,11,Q3308109-6a0f3bd6-42d6-6196-f3cb-e603c981c3bd
Q3499230,Steven Guilbeault,Q138345,Liberal Party of Canada,Q3219676,Laurier—Sainte-Marie,male,1970-06-09T00:00:00Z,11,Q3499230-92d1401c-4944-1994-e2c6-c57ee13f4eab
Q3528703,Tim Uppal,Q488523,Conservative Party of Canada,Q16974434,Edmonton Mill Woods,male,1974-11-14T00:00:00Z,11,Q3528703-3d9d950e-4c45-36fb-3eed-57175c33b5e5
Q3571913,Yasmin Ratansi,Q327591,independent politician,Q3035922,Don Valley East,female,1951-01-04T00:00:00Z,11,Q3571913-04B139AD-995E-4877-B82F-A46190D4FD93
Q3573412,Yves-François Blanchet,Q735105,Bloc Québécois,Q16840121,Beloeil—Chambly,male,1965-04-16T00:00:00Z,11,Q3573412-40ffa787-4193-7dde-04ab-730801d7ce2d
Q4492815,Chrystia Freeland,Q138345,Liberal Party of Canada,Q16977089,University—Rosedale,female,1968-08-02T00:00:00Z,11,Q4492815-AFAD7A69-720F-4B4F-88FD-03DD3082C5D3
Q460720,Lyne Bessette,Q138345,Liberal Party of Canada,Q2926009,Brome—Missisquoi,female,1975-03-10T00:00:00Z,11,Q460720-072e4a54-f2c8-4ac1-bc89-1fd03600e5ad
Q6122681,Jagmeet Singh,Q130765,New Democratic Party,Q16966970,Burnaby South,male,1979-01-02T00:00:00Z,11,Q6122681-56c8459c-4241-b49f-79dc-0896f3daa0b2
Q61881929,Scot Davidson,Q488523,Conservative Party of Canada,Q3572619,York—Simcoe,male,1990-01-01T00:00:00Z,9,Q61881929-84b1b021-4d26-bded-f1be-d9c44ca23a7d
Q71920855,Heather McPherson,Q130765,New Democratic Party,Q3048071,Edmonton Strathcona,female,1972-05-09T00:00:00Z,11,Q71920855-0f954372-49ec-32e7-e538-edaa7ad07d9d
Q71920975,Richard Lehoux,Q488523,Conservative Party of Canada,Q2893126,Beauce,male,1956-01-01T00:00:00Z,9,Q71920975-9b8156fd-4bda-d567-5940-21947210fdeb
Q71921009,Jenica Atwin,Q138345,Liberal Party of Canada,Q3087204,Fredericton,female,1987-01-10T00:00:00Z,11,Q71921009-7D6534FE-AF79-4D6A-A633-24258335C3FE
Q71929780,Ryan Turnbull,Q138345,Liberal Party of Canada,Q16967060,Whitby,male,1977-07-15T00:00:00Z,11,Q71929780-65f859d9-4f40-96d0-4442-344764bfef80
Q71929797,Marcus Powlowski,Q138345,Liberal Party of Canada,Q3526042,Thunder Bay—Rainy River,male,1960-01-20T00:00:00Z,11,Q71929797-c145d421-46e6-6b02-9eea-0b393bc09401
Q71929849,Derek Sloan,Q327591,independent politician,Q16979735,Hastings—Lennox and Addington,male,1984-11-11T00:00:00Z,11,Q71929849-0F35FA70-0A8E-445C-9F6F-3AC67C1BCCF4
Q71936994,Taylor Bachrach,Q130765,New Democratic Party,Q3486212,Skeena—Bulkley Valley,male,,,Q71936994-7f276bb2-4f41-043f-97a2-d6ac58a5022c
Q71942357,Lindsay Mathyssen,Q130765,New Democratic Party,Q3258986,London—Fanshawe,female,,,Q71942357-33dfb4e3-46c1-0c35-f290-faf486df7b61
Q71942614,Mumilaaq Qaqqaq,Q130765,New Democratic Party,Q584337,Nunavut,female,1993-11-04T00:00:00Z,11,Q71942614-ea0871e9-ae87-4ae6-a5ee-e2d35d22cfde
Q71973951,Kristina Michaud,Q735105,Bloc Québécois,Q16836105,Avignon—La Mitis—Matane—Matapédia,female,1993-02-01T00:00:00Z,11,Q71973951-0bbdeb3c-4efc-6766-1bd9-6369f03d0543
Q71991319,Julie Vignola,Q735105,Bloc Québécois,Q2893257,Beauport—Limoilou,female,1950-01-01T00:00:00Z,7,Q71991319-9a4da408-4826-3bd2-7435-41ce1b13da9c
Q72012003,Sameer Zuberi,Q138345,Liberal Party of Canada,Q600123,Pierrefonds—Dollard,male,,,Q72012003-04bb9069-4dee-fb14-0a2e-5ef7f050c439
Q72012015,Soraya Martinez Ferrada,Q138345,Liberal Party of Canada,Q3138926,Hochelaga,female,,,Q72012015-6dd76377-4049-6de7-2ec4-e3fa15a50787
